"Date","Price","Open","High","Low","Vol.","Change %"
"02/28/2022","3,462.31","3,450.32","3,462.31","3,425.52","34.58B","0.32%"
"02/25/2022","3,451.41","3,445.34","3,480.18","3,440.93","37.75B","0.63%"
"02/24/2022","3,429.96","3,474.37","3,486.98","3,400.21","48.84B","-1.70%"
"02/23/2022","3,489.15","3,458.51","3,490.76","3,458.18","32.56B","0.93%"
"02/22/2022","3,457.15","3,473.29","3,473.39","3,437.67","32.63B","-0.96%"
"02/21/2022","3,490.61","3,488.41","3,492.20","3,471.69","30.15B","0.00%"
"02/18/2022","3,490.76","3,451.63","3,490.76","3,447.03","29.51B","0.66%"
"02/17/2022","3,468.04","3,464.21","3,480.97","3,454.28","29.73B","0.06%"
"02/16/2022","3,465.83","3,457.07","3,475.06","3,453.80","27.50B","0.57%"
"02/15/2022","3,446.09","3,428.04","3,447.49","3,421.64","27.56B","0.50%"
"02/14/2022","3,428.88","3,451.85","3,457.26","3,415.45","31.53B","-0.98%"
"02/11/2022","3,462.95","3,472.28","3,500.15","3,459.33","36.14B","-0.66%"
"02/10/2022","3,485.91","3,481.91","3,488.86","3,464.22","35.57B","0.17%"
"02/09/2022","3,479.95","3,450.82","3,484.74","3,444.08","35.02B","0.79%"
"02/08/2022","3,452.63","3,428.54","3,453.19","3,390.46","36.61B","0.67%"
"02/07/2022","3,429.58","3,407.76","3,434.03","3,407.76","32.05B","2.03%"
"01/28/2022","3,361.44","3,407.59","3,417.05","3,356.56","29.09B","-0.97%"
"01/27/2022","3,394.25","3,456.10","3,456.36","3,392.02","28.06B","-1.78%"
"01/26/2022","3,455.67","3,442.69","3,462.12","3,417.76","27.51B","0.66%"
"01/25/2022","3,433.06","3,509.28","3,519.83","3,433.06","32.74B","-2.58%"
"01/24/2022","3,524.10","3,508.24","3,531.61","3,500.14","28.03B","0.04%"
"01/21/2022","3,522.57","3,546.75","3,547.00","3,514.89","32.65B","-0.91%"
"01/20/2022","3,555.06","3,556.23","3,576.26","3,540.55","37.95B","-0.09%"
"01/19/2022","3,558.18","3,567.63","3,578.73","3,541.66","33.32B","-0.33%"
"01/18/2022","3,569.91","3,541.89","3,579.31","3,531.33","37.71B","0.80%"
"01/17/2022","3,541.67","3,522.09","3,546.09","3,519.43","31.29B","0.58%"
"01/14/2022","3,521.26","3,544.07","3,548.42","3,519.32","37.69B","-0.96%"
"01/13/2022","3,555.26","3,601.03","3,601.07","3,555.16","36.94B","-1.17%"
"01/12/2022","3,597.43","3,578.16","3,599.50","3,572.10","34.31B","0.84%"
"01/11/2022","3,567.44","3,589.90","3,602.15","3,562.75","35.98B","-0.73%"
"01/10/2022","3,593.52","3,572.74","3,593.52","3,555.13","35.62B","0.39%"
"01/07/2022","3,579.54","3,588.99","3,607.23","3,577.10","43.63B","-0.18%"
"01/06/2022","3,586.08","3,581.22","3,594.49","3,559.88","37.15B","-0.25%"
"01/05/2022","3,595.18","3,628.26","3,628.26","3,583.47","42.39B","-1.02%"
"01/04/2022","3,632.33","3,649.15","3,651.89","3,610.09","40.50B","-0.20%"
"12/31/2021","3,639.78","3,626.24","3,642.84","3,624.94","32.97B","0.57%"
"12/30/2021","3,619.19","3,596.49","3,628.92","3,595.50","30.78B","0.62%"
"12/29/2021","3,597.00","3,630.92","3,630.92","3,596.32","30.51B","-0.91%"
"12/28/2021","3,630.11","3,619.64","3,631.08","3,607.36","31.62B","0.39%"
"12/27/2021","3,615.97","3,613.05","3,632.19","3,601.94","32.92B","-0.06%"
"12/24/2021","3,618.05","3,645.39","3,648.96","3,612.07","39.03B","-0.69%"
"12/23/2021","3,643.34","3,625.47","3,643.55","3,618.05","38.29B","0.57%"
"12/22/2021","3,622.62","3,632.68","3,635.90","3,616.55","39.48B","-0.07%"
"12/21/2021","3,625.13","3,591.45","3,627.09","3,591.45","40.82B","0.88%"
"12/20/2021","3,593.60","3,620.04","3,643.95","3,589.36","42.39B","-1.07%"
"12/17/2021","3,632.36","3,670.26","3,673.65","3,631.66","40.85B","-1.16%"
"12/16/2021","3,675.02","3,648.93","3,675.02","3,644.66","38.13B","0.75%"
"12/15/2021","3,647.63","3,655.05","3,668.40","3,645.24","37.75B","-0.38%"
"12/14/2021","3,661.53","3,669.81","3,671.68","3,654.66","36.22B","-0.53%"
"12/13/2021","3,681.08","3,686.94","3,708.94","3,678.06","42.41B","0.40%"
"12/10/2021","3,666.35","3,654.37","3,667.85","3,651.35","42.00B","-0.18%"
"12/09/2021","3,673.04","3,641.16","3,688.40","3,638.70","43.19B","0.98%"
"12/08/2021","3,637.57","3,602.82","3,637.72","3,591.99","36.10B","1.18%"
"12/07/2021","3,595.09","3,611.22","3,614.22","3,572.57","40.38B","0.16%"
"12/06/2021","3,589.31","3,615.24","3,626.13","3,586.81","41.87B","-0.50%"
"12/03/2021","3,607.43","3,576.45","3,608.47","3,573.21","37.76B","0.94%"
"12/02/2021","3,573.84","3,573.25","3,586.87","3,567.14","35.40B","-0.09%"
"12/01/2021","3,576.89","3,561.89","3,576.89","3,558.69","32.99B","0.36%"
"11/30/2021","3,563.89","3,570.75","3,582.11","3,546.36","34.92B","0.03%"
"11/29/2021","3,562.70","3,528.67","3,563.68","3,526.35","33.36B","-0.04%"
"11/26/2021","3,564.09","3,576.11","3,576.11","3,554.88","30.10B","-0.56%"
"11/25/2021","3,584.18","3,593.39","3,597.15","3,579.53","30.65B","-0.24%"
"11/24/2021","3,592.70","3,590.02","3,602.74","3,575.29","33.68B","0.10%"
"11/23/2021","3,589.09","3,580.51","3,598.38","3,577.36","36.00B","0.20%"
"11/22/2021","3,582.08","3,562.76","3,585.19","3,562.75","33.00B","0.61%"
"11/19/2021","3,560.37","3,519.28","3,561.91","3,517.65","31.80B","1.13%"
"11/18/2021","3,520.71","3,531.49","3,537.98","3,513.11","31.24B","-0.47%"
"11/17/2021","3,537.37","3,518.56","3,537.51","3,513.52","27.67B","0.44%"
"11/16/2021","3,521.79","3,530.46","3,549.77","3,517.81","31.04B","-0.33%"
"11/15/2021","3,533.30","3,542.90","3,550.44","3,521.29","31.30B","-0.16%"
"11/12/2021","3,539.10","3,534.15","3,543.65","3,527.39","30.87B","0.18%"
"11/11/2021","3,532.79","3,486.45","3,534.20","3,482.83","32.21B","1.15%"
"11/10/2021","3,492.46","3,498.94","3,498.94","3,448.44","30.70B","-0.41%"
"11/09/2021","3,507.00","3,507.11","3,514.95","3,489.04","28.73B","0.24%"
"11/08/2021","3,498.63","3,491.97","3,507.27","3,484.24","29.82B","0.20%"
